feature,importance_mean,importance_std
InternetService,0.045628099643500356,0.014598160355251301
Contract,0.04104189410877289,0.02046247042135413
NumPaymentFailures,0.01638304212257394,0.007320455921744798
PaymentMethod,0.014712009146675933,0.017223038395219874
RandomIDHash,0.006844603597022459,0.0036557970544336994
SeniorCitizen,0.003452910284085858,0.01312253995986637
Tenure,0.0022085628866398465,0.0036965366211069474
PromoCategory,0.002189801784770526,0.0052864226368608104
InternalCodeFlag,0.0011201309029321427,0.007764844893488739
LegacySystemScore,0.0006780820593023359,0.0003877737297658977
NumPageViews,7.936081574826947e-05,0.015293081974112907
Gender,0.0,0.0
DeviceProtection,0.0,0.0
PhoneService,0.0,0.0
Partner,0.0,0.0
PaperlessBilling,0.0,0.0
MonthlyCharges,0.0,0.0
Dependents,0.0,0.0
OnlineBackup,0.0,0.0
MultipleLines,0.0,0.0
NumAppCrashes,0.0,0.0
TechSupport,-3.5430898718824544e-06,0.0006330255071499405
ReferralCount,-0.00021668360707863404,0.0005519938803710064
OnlineSecurity,-0.0003443612918566194,0.0004227596159918782
StreamingTV,-0.0006897046061557263,0.0004814506890314835
StreamingMovies,-0.001126708640614095,0.008046254243892353
AvgCallDuration,-0.0015862724693170931,0.01638813541002088
SurveyVersion,-0.0031139951511385323,0.0032732896224738003
DataOverageCount,-0.0037771100134555923,0.0038716280403646654
NumAppLoginsLastMonth,-0.003799862789052512,0.0030726555958993716
TotalCharges,-0.004359044361441531,0.00979304819156215
EmailOpenRate,-0.006791929896453016,0.006848938742076212
AppSessionLengthAvg,-0.011310874198314579,0.011818121237801498
NumInternationalCalls,-0.012412807020309245,0.007637322908852988
